"coverage","country","lon","lat"
"1","BR","-53.162841796875","-29.084976128535068"
"1","BR","-53.052978515625","-29.02735433352716"
"1","BR","-49.559326171875","-27.401031962578156"
"1","AR","-58.106689453125","-34.7506393117471"
"1","PY","-54.85473632812501","-25.59199376990822"
"1","AR","-58.326416015625","-26.716173334952643"
"1","BR","-49.71313476562499","-27.01019600575216"
"1","BR","-49.910888671875014","-29.430028953808023"
"1","BR","-54.94262695312501","-28.758027838439325"
"1","BR","-51.09741210937499","-30.02154305344941"
"1","UY","-56.282958984375","-34.53371192950328"
"1","PY","-54.986572265625","-25.63162116645576"
"1","PY","-56.041259765625","-25.512699598189307"
"1","BR","-51.251220703125","-29.792983681292533"
"1","BR","-48.636474609375","-27.537499876557572"
"1","BR","-49.822998046875","-27.108033374229578"
"1","BR","-51.558837890625","-30.647363796317"
"1","PY","-54.92065429687501","-26.36234164992481"
"1","PY","-57.24975585937499","-25.413508199760457"
"1","BR","-49.273681640625","-26.951452657954235"
"1","AR","-59.468994140625","-30.36339578020754"
"1","BR","-50.921630859375014","-29.869228394082366"
"1","BR","-49.163818359375","-28.58452127683979"
"1","BR","-52.393798828125","-29.6212206612132"
"1","BR","-51.53686523437499","-27.049341193268624"
"1","BR","-52.10815429687501","-27.479034321315"
"1","AR","-58.59008789062499","-34.6241672974209"
"1","BR","-48.63647460937501","-27.98469968215695"
"1","AR","-54.722900390625","-26.480406740622364"
"1","PY","-55.75561523437501","-25.39366011394678"
"1","UY","-58.084716796875","-32.33355847263479"
"1","BR","-49.29565429687501","-28.79654579713749"
"1","AR","-59.84252929687501","-29.926373723221307"
"1","AR","-57.337646484375","-35.39800544980684"
"1","AR","-55.88745117187499","-27.479034321315"
"1","AR","-59.07348632812501","-34.461276797022"
"1","PY","-58.282470703125","-26.853479013939623"
"1","AR","-59.359130859375","-30.230594106734706"
"1","UY","-55.07446289062501","-34.76869096413359"
"1","AR","-57.908935546875","-35.128893845315496"
"1","BR","-52.723388671875","-27.108033374229578"
"1","AR","-58.72192382812501","-28.236649004983594"
"1","BR","-51.03149414062501","-29.983486262533845"
"1","UY","-55.82153320312499","-34.479391479513396"
"1","PY","-57.38159179687501","-25.433353019319984"
"1","AR","-58.524169921875","-27.38152276155116"
"1","BR","-52.283935546875","-30.325470800273205"
"1","PY","-55.51391601562501","-26.480406740622364"
"1","BR","-52.19604492187501","-26.755420473948263"
"1","AR","-59.666748046875","-33.97069750926182"
"1","BR","-49.713134765624986","-27.205785296101503"
"1","UY","-57.513427734375014","-32.38923863341566"
"1","AR","-58.94165039062499","-34.479391479513396"
"1","BR","-48.76831054687499","-26.22444652810051"
"1","UY","-55.86547851562501","-34.67839324728014"
"1","AR","-58.787841796875","-34.804782425921736"
"1","BR","-51.888427734375","-29.81205031316974"
"1","BR","-51.273193359375","-29.983486262533845"
"1","BR","-49.229736328125","-25.35395415093729"
"1","BR","-49.64721679687499","-27.068908668650792"
"1","BR","-52.23999023437501","-26.873080541244807"
"1","BR","-48.61450195312501","-26.794654063798674"
"1","BR","-52.39379882812501","-27.926473604009228"
"1","BR","-50.548095703125","-29.678507637924657"
"1","AR","-58.040771484375","-34.9309780938621"
"1","UY","-55.97534179687501","-31.81222855081375"
"1","BR","-52.89916992187501","-26.401710109195797"
"1","AR","-57.66723632812501","-30.268555790506568"
"1","BR","-49.844970703125","-26.204733849794764"
"1","BR","-50.548095703125","-29.81205031316974"
"1","AR","-54.83276367187501","-27.08847272953271"
"1","UY","-55.997314453125","-33.23868704468695"
"1","BR","-50.59204101562499","-29.850172670980584"
"1","AR","-58.56811523437499","-34.7506393117471"
"1","BR","-51.16333007812501","-29.52566997450537"
"1","PY","-58.084716796875","-27.108033374229578"
"1","BR","-52.41577148437499","-28.256005180597665"
"1","BR","-53.44848632812499","-25.888878168381613"
"1","BR","-52.261962890625","-31.456782003226508"
"1","BR","-52.39379882812499","-29.69759604899548"
"1","BR","-48.61450195312501","-25.59199376990822"
"1","BR","-48.790283203125","-26.460737623023853"
"1","AR","-57.97485351562501","-30.590636565468532"
"1","BR","-51.998291015625","-26.500072495141783"
"1","PY","-56.634521484375","-27.401031962578156"
"1","AR","-58.96362304687499","-34.33436399645513"
"1","PY","-54.96459960937499","-26.322959780290276"
"1","AR","-59.77661132812499","-34.189085341579045"
"1","BR","-50.350341796875","-27.751607253506155"
"1","AR","-58.524169921875","-34.64224655516687"
"1","BR","-51.448974609375","-25.37380876372356"
"1","PY","-56.54663085937501","-25.413508199760457"
"1","AR","-59.183349609375","-34.58799696325682"
"1","AR","-59.293212890625","-34.64224655516687"
"1","BR","-53.07495117187499","-29.334297780464514"
"1","AR","-58.12866210937499","-31.41928765571479"
